상가업소번호,상호명,시도명,도로명,행정동명,시군구명,경도,위도
MA010120220800787084,카페클라츠,제주특별자치도,제주특별자치도 제주시 남광로2길,이도2동,제주시,126.538535089151,33.4912293583984
MA010120220800851250,자상한하루,제주특별자치도,제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길,남원읍,서귀포시,126.768878727415,33.3067442006293
MA010120220800850561,아이즈,제주특별자치도,제주특별자치도 제주시 조천읍 신촌11길,조천읍,제주시,126.62518944388,33.5360605347975
MA010120220800840469,뽀르뽀라,제주특별자치도,제주특별자치도 서귀포시 성산읍 온평관전로,성산읍,서귀포시,126.907824302115,33.4105576714962
MA010120220800838018,콜라,제주특별자치도,제주특별자치도 제주시 한림읍 일주서로,한림읍,제주시,126.291921158764,33.4433185660302
MA010120220800840780,에이바우트커피베라체점,제주특별자치도,제주특별자치도 제주시 승천로,아라동,제주시,126.542684126506,33.4920832221768
MA010120220800829006,또똣제주,제주특별자치도,제주특별자치도 서귀포시 대정읍 형제해안로,대정읍,서귀포시,126.29183569544,33.2109121150466
MA010120220800872056,커피림,제주특별자치도,제주특별자치도 제주시 수목원길,연동,제주시,126.487863377422,33.4694461642905
MA010120220800805274,옥,제주특별자치도,제주특별자치도 제주시 광양2길,이도1동,제주시,126.526955675152,33.5033211348125
MA010120220800805408,메가엠지씨커피제주도청점,제주특별자치도,제주특별자치도 제주시 신대로7길,연동,제주시,126.497340037968,33.4919526655474
MA010120220800802121,메가엠지씨커피제주대점,제주특별자치도,제주특별자치도 제주시 제주대학로,아라동,제주시,126.561449044287,33.4603426942654
MA010120220800809953,마린68,제주특별자치도,제주특별자치도 서귀포시 안덕면 사계남로,안덕면,서귀포시,126.308293097524,33.2308493093442
MA010120220800806010,카페제주완,제주특별자치도,제주특별자치도 제주시 우정로7길,외도동,제주시,126.433399095269,33.488990066639
MA010120220800941261,해비치바람의집,제주특별자치도,제주특별자치도 서귀포시 표선면 민속해안로,표선면,서귀포시,126.83647339524,33.3124686972185
MA010120220800994477,에이바우트커피,제주특별자치도,제주특별자치도 제주시 월랑로10길,노형동,제주시,126.476297434963,33.4893500834896
MA010120220800896272,블레블랑제리,제주특별자치도,제주특별자치도 제주시 아란5길,아라동,제주시,126.54372190006,33.4747583811791
MA010120220801063934,가치있는생활,제주특별자치도,제주특별자치도 서귀포시 대정읍 글로벌에듀로,대정읍,서귀포시,126.278240969228,33.2807270158593
MA010120220801052032,가비오타카페,제주특별자치도,제주특별자치도 제주시 구좌읍 해맞이해안로,구좌읍,제주시,126.900185662243,33.5094132653943
MA010120220801050305,길카페,제주특별자치도,제주특별자치도 서귀포시 표선면 표선중앙로80번길,표선면,서귀포시,126.830586519889,33.3246869026955
MA010120220801049808,그루스터디카페제주이도센터,제주특별자치도,제주특별자치도 제주시 구남로2길,아라동,제주시,126.535983267216,33.4854766727722
MA010120220801177243,어리석은물고기,제주특별자치도,제주특별자치도 서귀포시 남원읍 태위로,남원읍,서귀포시,126.663180024213,33.2749186016299
MA010120220801150111,그해여름,제주특별자치도,제주특별자치도 제주시 한경면 홍수암로,한경면,제주시,126.227970238524,33.3370003294605
MA010120220801145831,커피주의보,제주특별자치도,제주특별자치도 제주시 남광로,이도2동,제주시,126.537999699111,33.4927600733559
MA010120220801139260,로치아,제주특별자치도,제주특별자치도 제주시 도공로,도두동,제주시,126.466611917682,33.5018589017469
MA010120220801239486,오늘도화창,제주특별자치도,제주특별자치도 제주시 구좌읍 월정5길,구좌읍,제주시,126.794968227062,33.5551480773
MA010120220801239692,마리따,제주특별자치도,제주특별자치도 제주시 한림읍 한림해안로,한림읍,제주시,126.284502974569,33.4443488713372
MA010120220801246793,파인브레드,제주특별자치도,제주특별자치도 제주시 애월읍 일주서로,애월읍,제주시,126.334166647201,33.4627023077094
MA010120220801310951,카페헤이브라운,제주특별자치도,제주특별자치도 제주시 아란2길,아라동,제주시,126.541132295847,33.4721161585926
MA010120220801366970,더그레이스,제주특별자치도,제주특별자치도 제주시 한경면 낙수로,한경면,제주시,126.241295919451,33.3213675998996
MA010120220801334739,피노키오,제주특별자치도,제주특별자치도 제주시 우도면 우도로,우도면,제주시,126.948256542565,33.5205053262186
MA010120220801458295,쁠랑뜨,제주특별자치도,제주특별자치도 제주시 1100로,노형동,제주시,126.485487439356,33.4528018844825
MA010120220801521217,탐앤탐스칠성로점,제주특별자치도,제주특별자치도 제주시 중앙로7길,일도1동,제주시,126.525708050402,33.5150190151908
MA010120220801456391,휴린인터내셔날,제주특별자치도,제주특별자치도 서귀포시 성산읍 서성일로1168번길,성산읍,서귀포시,126.899211452498,33.43987148568
MA010120220801448359,델문도,제주특별자치도,제주특별자치도 제주시 조천읍 조함해안로,조천읍,제주시,126.66870893878,33.5436948701011
MA010120220801722394,차뜨락,제주특별자치도,제주특별자치도 서귀포시 대정읍 신영로36번길,대정읍,서귀포시,126.249008563515,33.2208492604977
MA010120220801725422,일오구카페,제주특별자치도,제주특별자치도 서귀포시 안덕면 덕수서로,안덕면,서귀포시,126.304344877786,33.2647370100303
MA010120220801803026,구름언덕&KANGSHIMJANG,제주특별자치도,제주특별자치도 제주시 조천읍 중산간동로,조천읍,제주시,126.655031580918,33.4984245044791
MA010120220801846186,곳남모을카페,제주특별자치도,제주특별자치도 제주시 기와4길,아라동,제주시,126.559952979404,33.4818044445689
MA010120220802017436,Cafe오름Jeju,제주특별자치도,제주특별자치도 서귀포시 성산읍 삼달로,성산읍,서귀포시,126.855833017707,33.3723335999536
MA010120220802049174,사막커피로스터스,제주특별자치도,제주특별자치도 제주시 아란서길,아라동,제주시,126.540354207386,33.4707428481357
MA010120220802055296,키아오라카페,제주특별자치도,제주특별자치도 서귀포시 성산읍 난고로42번길,성산읍,서귀포시,126.904895752235,33.4343040061613
MA010120220802148512,옹다방,제주특별자치도,제주특별자치도 제주시 한경면 한경해안로,한경면,제주시,126.166835976053,33.3410591223502
MA010120220802269184,반디,제주특별자치도,제주특별자치도 제주시 한경면 청수동4길,한경면,제주시,126.256568973788,33.316095415815
MA010120220802243086,이디야커피제주함덕해수욕장점,제주특별자치도,제주특별자치도 제주시 조천읍 함덕19길,조천읍,제주시,126.669999758168,33.5411828742258
MA010120220802287042,법인다락,제주특별자치도,제주특별자치도 제주시 애월읍 애월해안로,애월읍,제주시,126.340945328277,33.4695545188086
MA010120220802276258,카페인섭지코지,제주특별자치도,제주특별자치도 서귀포시 성산읍 섭지코지로,성산읍,서귀포시,126.922400081263,33.4370210336728
MA010120220802282362,일출봉아로니아,제주특별자치도,제주특별자치도 서귀포시 성산읍 서성일로1136번길,성산읍,서귀포시,126.900066362,33.4446056420237
MA010120220802475635,유람위드북스,제주특별자치도,제주특별자치도 제주시 한경면 조수동2길,한경면,제주시,126.234777683927,33.3397382299288
MA010120220802476190,어반르토아,제주특별자치도,제주특별자치도 제주시 구남동5길,이도2동,제주시,126.542000734139,33.4910799286125
MA010120220802513653,유라디,제주특별자치도,제주특별자치도 제주시 인다15길,아라동,제주시,126.551108557231,33.4714314099837
MA010120220802500677,투썸플레이스곽지과물,제주특별자치도,제주특별자치도 제주시 애월읍 곽지3길,애월읍,제주시,126.305122448696,33.4493437117272
MA010120220802509854,카페글렌코,제주특별자치도,제주특별자치도 제주시 구좌읍 비자림로,구좌읍,제주시,126.733239359513,33.4336749148676
MA010120220802586460,다함께야구펍,제주특별자치도,제주특별자치도 제주시 노연로,노형동,제주시,126.484687266614,33.4862386997633
MA010120220802677426,라몽,제주특별자치도,제주특별자치도 제주시 다랑곶6길,노형동,제주시,126.479875895881,33.4901315070849
MA010120220802675045,흔한남자의커피이야기,제주특별자치도,제주특별자치도 서귀포시 대정읍 하모이삼로,대정읍,서귀포시,126.253907657832,33.2237458679937
MA010120220802676597,가보카,제주특별자치도,제주특별자치도 제주시 한경면 명이2길,한경면,제주시,126.265310772657,33.3173104841187
MA010120220802683955,이디야제주한림점,제주특별자치도,제주특별자치도 제주시 한림읍 한림로,한림읍,제주시,126.26431132741,33.4182470416219
MA010120220802741252,메가커피제주,제주특별자치도,제주특별자치도 서귀포시 동홍로,동홍동,서귀포시,126.568562652698,33.2571346639534
MA010120220802743504,매일더탐나,제주특별자치도,제주특별자치도 서귀포시 표선면 일주동로6455번길,표선면,서귀포시,126.782848746216,33.3066972684137
MA010120220802648100,컴포즈커피제주서사라점,제주특별자치도,제주특별자치도 제주시 서광로,삼도1동,제주시,126.5195502349,33.4996502089332
MA010120220802647358,커넥츠프랩공시관제주,제주특별자치도,제주특별자치도 제주시 천수로,일도2동,제주시,126.542222554006,33.5041358210084
MA010120220802799828,겔러리앤감자,제주특별자치도,제주특별자치도 서귀포시 안덕면 화순로,안덕면,서귀포시,126.340525069251,33.2517164891996
MA010120220802779381,로쿤커피에스프레소바,제주특별자치도,제주특별자치도 제주시 애월읍 넙은밧길,애월읍,제주시,126.367454194306,33.4500109484352
MA010120220802754802,더스노우랩,제주특별자치도,제주특별자치도 제주시 승천로,아라동,제주시,126.54194482875,33.4935230422011
MA010120220802899970,오늘종달,제주특별자치도,제주특별자치도 제주시 구좌읍 해맞이해안로,구좌읍,제주시,126.911627120755,33.4982420725428
MA010120220802886770,아일랜드팩토리풍류,제주특별자치도,제주특별자치도 제주시 관덕로8길,이도1동,제주시,126.523364828892,33.5105110859681
MA010120220802900000,고래가품은바다,제주특별자치도,제주특별자치도 서귀포시 대정읍 최남단해안로125번길,대정읍,서귀포시,126.25708690654,33.2118545603237
MA010120220802900409,고스란히,제주특별자치도,제주특별자치도 제주시 구남로6길,이도2동,제주시,126.535128082842,33.4884577460332
MA010120220802883043,카페512,제주특별자치도,제주특별자치도 제주시 연삼로,일도2동,제주시,126.544317349322,33.5007535541807
MA010120220802884505,동명정류장,제주특별자치도,제주특별자치도 제주시 한림읍 동명7길,한림읍,제주시,126.266230558906,33.3971341901607
MA010120220802911141,에이에이에이,제주특별자치도,제주특별자치도 서귀포시 안덕면 병악로,안덕면,서귀포시,126.361463291256,33.2794152111305
MA010120220802910120,카페토르토니,제주특별자치도,제주특별자치도 제주시 아란5길,아라동,제주시,126.543667211152,33.4749294832402
MA010120220802859199,레프트핸더,제주특별자치도,제주특별자치도 제주시 구좌읍 상도북2길,구좌읍,제주시,126.864996070783,33.5201901158362
MA010120220802971468,서광리일이삼카페,제주특별자치도,제주특별자치도 서귀포시 안덕면 중산간서로,안덕면,서귀포시,126.333333232341,33.2859033939474
MA010120220802968308,미술카페쌤,제주특별자치도,제주특별자치도 제주시 한경면 저지동길,한경면,제주시,126.260048054137,33.3326425122705
MA010120220802962440,돌이삼구,제주특별자치도,제주특별자치도 서귀포시 표선면 표선동서로,표선면,서귀포시,126.832239392311,33.3252571716056
MA010120220802962534,더구두미,제주특별자치도,제주특별자치도 서귀포시 칠십리로,송산동,서귀포시,126.595389504256,33.2436643040338
MA010120220802960353,쿠키키cookiki,제주특별자치도,제주특별자치도 제주시 애월읍 하귀로,애월읍,제주시,126.405534374997,33.4821246729424
MA010120220802965316,신촌,제주특별자치도,제주특별자치도 제주시 한림읍 대림4길,한림읍,제주시,126.264668146018,33.4205572192277
MA010120220802946978,제주김귤,제주특별자치도,제주특별자치도 제주시 한림읍 금능남로,한림읍,제주시,126.233468692165,33.3849089485848
MA010120220802953282,카페현,제주특별자치도,제주특별자치도 제주시 신설로6길,이도2동,제주시,126.543583784268,33.4928889579169
MA010120220802958624,돌개바람,제주특별자치도,제주특별자치도 서귀포시 성산읍 환해장성로,성산읍,서귀포시,126.903201656081,33.4007625834686
MA010120220803005205,묵묵라이프,제주특별자치도,제주특별자치도 제주시 인다1길,아라동,제주시,126.550151894243,33.477522738693
MA010120220802999503,엉또돌다카페농원,제주특별자치도,제주특별자치도 서귀포시 월산로,대천동,서귀포시,126.494339280753,33.263310635117
MA010120220802990574,갤러리&카페아토,제주특별자치도,제주특별자치도 서귀포시 표선면 토산중앙로,표선면,서귀포시,126.767575516766,33.3244136843855
MA010120220802995617,제로포인트트레일,제주특별자치도,제주특별자치도 제주시 산지로,건입동,제주시,126.529207634822,33.5147438558629
MA010120220802932102,카페몽,제주특별자치도,제주특별자치도 제주시 인다1길,아라동,제주시,126.552181644969,33.4740499241605
MA010120220802936582,하소로커피,제주특별자치도,제주특별자치도 제주시 한경면 불그못로,한경면,제주시,126.217888994064,33.2955899902917
MA010120220802942837,하빌리스,제주특별자치도,제주특별자치도 제주시 전농로,삼도1동,제주시,126.51717690735,33.5045726889428
MA010120220803061262,카페방주,제주특별자치도,제주특별자치도 서귀포시 안덕면 산록남로762번길,안덕면,서귀포시,126.386988721594,33.3056003490974
MA010120220803043469,아트인명도암,제주특별자치도,제주특별자치도 제주시 명림로,봉개동,제주시,126.61164846831,33.467984380198
MA010120220803038509,치치숲,제주특별자치도,제주특별자치도 제주시 애월읍 녹고메길,애월읍,제주시,126.407967190197,33.4059516661152
MA010120220803038664,소보리당로222,제주특별자치도,제주특별자치도 서귀포시 소보리당로,예래동,서귀포시,126.383305324279,33.2629267237923
MA010120220803034944,롤링브루잉,제주특별자치도,제주특별자치도 제주시 동문로,일도1동,제주시,126.529108892971,33.5131025860258
MA010120220803081914,코멧1987,제주특별자치도,제주특별자치도 제주시 광양11길,이도2동,제주시,126.531035783836,33.4990811296737
MA010120220803027283,더리터제주;온다제주,제주특별자치도,제주특별자치도 제주시 삼성로,일도2동,제주시,126.532633256277,33.5082022613747
MA010120220803008283,에이바우트커피삼무공원점,제주특별자치도,제주특별자치도 제주시 신광로,연동,제주시,126.489892289768,33.4903714932894
MA010120220803023945,카페델보스케,제주특별자치도,제주특별자치도 서귀포시 산록남로,영천동,서귀포시,126.586012070538,33.3072162270515
MA010120220803138768,뜻밖의발견,제주특별자치도,제주특별자치도 서귀포시 신서로122번길,대천동,서귀포시,126.509802408317,33.2598652333869
MA010120220803141303,제주앨리스연동점,제주특별자치도,제주특별자치도 제주시 국기중길,연동,제주시,126.491017391042,33.4801430443155
MA010120220803141523,코삿호다,제주특별자치도,제주특별자치도 제주시 한경면 일주서로,한경면,제주시,126.198288823953,33.3655189350956
MA010120220803139068,펜고호다,제주특별자치도,제주특별자치도 제주시 애월읍 봉성로,애월읍,제주시,126.312379593022,33.418306419585
MA010120220803138082,터치우드,제주특별자치도,제주특별자치도 제주시 조천읍 함대로,조천읍,제주시,126.658661171722,33.5305494060459
MA010120220803134428,카페훤,제주특별자치도,제주특별자치도 제주시 한림읍 협재1길,한림읍,제주시,126.24250602005,33.3961711874455
MA010120220803116201,망고레이제주,제주특별자치도,제주특별자치도 제주시 조천읍 조함해안로,조천읍,제주시,126.66686198178,33.5424006380999
MA010120220803151354,에피소드,제주특별자치도,제주특별자치도 제주시 한경면 고조로,한경면,제주시,126.18808791498,33.305776252533
MA010120220803161333,하라케케,제주특별자치도,제주특별자치도 서귀포시 속골로,대륜동,서귀포시,126.527719644116,33.2428667519432
MA010120220803148630,모슬포정미소,제주특별자치도,제주특별자치도 서귀포시 대정읍 하모중앙로,대정읍,서귀포시,126.252401546437,33.2229884873593
MA010120220803098504,카페봄봄효돈점,제주특별자치도,제주특별자치도 서귀포시 효돈로,효돈동,서귀포시,126.61705261804,33.2635327308858
MA010120220803100624,보네르,제주특별자치도,제주특별자치도 제주시 남광북5길,이도2동,제주시,126.536673288386,33.4932960773015
MA010120220803103073,쉴만한물가,제주특별자치도,제주특별자치도 제주시 한림읍 월령안길,한림읍,제주시,126.214051600597,33.3762314351681
MA010120220803090478,어썸커뮤니티,제주특별자치도,제주특별자치도 제주시 인다8길,아라동,제주시,126.549748666097,33.4764393584233
MA010120220803090511,3인칭관찰자시점,제주특별자치도,제주특별자치도 제주시 한경면 신창7길,한경면,제주시,126.181191393445,33.3497467541043
MA010120220803211097,크래커스,제주특별자치도,제주특별자치도 서귀포시 대정읍 보성구억로126번길,대정읍,서귀포시,126.279704484429,33.2632893708874
MA010120220803224982,컴포즈커피서귀포창천점,제주특별자치도,제주특별자치도 서귀포시 안덕면 일주서로,안덕면,서귀포시,126.365630526442,33.2612780079653
MA010120220803211542,커피냅로스터스제주,제주특별자치도,제주특별자치도 제주시 애월읍 하귀2길,애월읍,제주시,126.41370683222,33.4891869729849
MA010120220803212874,카페올린,제주특별자치도,제주특별자치도 제주시 한경면 판조로,한경면,제주시,126.218191990059,33.3494442676948
MA010120220803215277,여러분,제주특별자치도,제주특별자치도 제주시 한림읍 한림로,한림읍,제주시,126.264889089515,33.4173038004386
MA010120220803214244,카페,제주특별자치도,제주특별자치도 제주시 관덕로,삼도2동,제주시,126.522726492186,33.5130781609802
MA010120220803225482,카페도구리3083,제주특별자치도,제주특별자치도 서귀포시 대정읍 노을해안로,대정읍,서귀포시,126.172617017012,33.2749026854726
MA010120220803212074,빛채움천연염색체험까페,제주특별자치도,제주특별자치도 서귀포시 표선면 성읍정의현로136번길,표선면,서귀포시,126.797196462057,33.3938724846099
MA010120220803210971,퍼플비,제주특별자치도,제주특별자치도 제주시 애월읍 유수암평화5길,애월읍,제주시,126.405562026652,33.4244770112954
MA010120220803201029,달리는커피도두점,제주특별자치도,제주특별자치도 제주시 서해안로,도두동,제주시,126.463947069122,33.5029473389471
MA010120220803188976,몽상의정원,제주특별자치도,제주특별자치도 제주시 금산5길,화북동,제주시,126.564580908688,33.5245022355574
MA010120220803195798,파파스브로트,제주특별자치도,제주특별자치도 서귀포시 1100로,중문동,서귀포시,126.45622412651,33.2900180840512
MA010120220803201483,알베로,제주특별자치도,제주특별자치도 서귀포시 성산읍 금백조로,성산읍,서귀포시,126.85673438347,33.4386125137217
MA010120220803188050,바스코,제주특별자치도,제주특별자치도 제주시 중앙로,건입동,제주시,126.525461022881,33.5168933761778
MA010120220803199693,스타스낵,제주특별자치도,제주특별자치도 제주시 용문로,용담2동,제주시,126.49839525355,33.5048947726826
MA010120220803234762,컴포즈커피제주,제주특별자치도,제주특별자치도 제주시 중앙로,이도2동,제주시,126.536280053148,33.4923749806678
MA010120220803246916,카페다,제주특별자치도,제주특별자치도 제주시 조천읍 신북로,조천읍,제주시,126.638513308531,33.5371369745941
MA010120220803185083,알14,제주특별자치도,제주특별자치도 제주시 한림읍 월령안길,한림읍,제주시,126.214188857986,33.3765027807861
MA010120220803176436,플랜에이스터디라운지,제주특별자치도,제주특별자치도 제주시 아란8길,아라동,제주시,126.545052648905,33.4733297335081
MA010120220803170835,컴포즈커피하효점,제주특별자치도,제주특별자치도 서귀포시 효돈순환로,효돈동,서귀포시,126.617843586708,33.2568811257998
MA010120220803184377,팔공티,제주특별자치도,제주특별자치도 제주시 일주동로,삼양동,제주시,126.584372604129,33.5209097676399
MA010120220803184402,눅애월,제주특별자치도,제주특별자치도 제주시 애월읍 고내로13길,애월읍,제주시,126.347626432899,33.4709061758978
MA010120220803179564,산도롱앤드또,제주특별자치도,제주특별자치도 제주시 중앙로,일도1동,제주시,126.524631130567,33.5131576115575
MA010120220803306522,제피로스,제주특별자치도,제주특별자치도 서귀포시 태평로,동홍동,서귀포시,126.571759974579,33.2506810280081
